GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	75.0634464659235	3.724594420278323e-14	5.77337e-05	1.24227e-05	6.99091972089505e-08	27.0	10.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	41.3364667436784	2.4856576669761364e-07	0.408726	2.23407e-07	0.0115710096063825	108.0	49.0	118.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	30.2919951552326	4.268170031336262e-06	0.191113	NA	1.3832051563023e-06	7.0	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADH5	34.84308103580474	4.62190348220792e-06	3.12746e-07	0.51154	0.169765612178923	20.0	7.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CD69	20.728660146347494	3.153759999999998e-05	3.15376e-05	NA	NA	4.0	NA	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CFI	30.147692509872616	3.684673756122022e-05	0.00093113	0.0823215	0.003706706126469	27.0	9.0	39.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FKBP1A	19.389947390475903	6.159229999999994e-05	6.15923e-05	NA	NA	7.0	NA	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MSR1	28.175344803542245	8.708026883081072e-05	0.000741166	0.08843	0.0116221506234608	20.0	12.0	24.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	27.975278593862715	9.497537125325042e-05	1.75057e-06	0.54681	0.879487170586856	47.0	20.0	59.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DIAPH2	23.224868510914217	0.00011417809606295939	0.137059	NA	6.60505323958338e-05	14.0	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
COA8	23.22410322783704	0.00011421832839438242	7.97503e-05	0.113558	NA	15.0	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IL12A	18.061858771875333	0.00011965123930189996	NA	NA	0.0001196512393019	NA	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	27.41844003159573	0.00012086855507786268	1.04945e-05	0.586861	0.18057781541685	47.0	25.0	60.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC6A14	23.00216417132233	0.00012650017350119256	1.19336e-05	NA	0.847953500886033	7.0	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OTX1	22.981754128699265	0.00012769339470614132	0.39635	NA	2.57926898675764e-05	6.0	NA	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RAP1GDS1	27.255733806238716	0.0001296729932433566	0.0127423	0.000917862	0.103149561940138	29.0	16.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RAP1A	22.778098698526954	0.00014022863169854024	0.00012297	NA	0.0920448597787588	9.0	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TTC12	26.93673904274123	0.00014881281665518313	0.00366532	0.791381	0.0004878248512421	30.0	16.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RFFL	22.54301325699812	0.00015622292135327828	1.76265e-05	NA	0.722238745728924	21.0	NA	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD23	26.59900218504485	0.0001721197089383452	0.660786	0.0351827	7.20626228896126e-05	19.0	11.0	29.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SNTG2	26.43075118956343	0.00018504009362941447	0.00954737	0.00076553	0.249338495470366	32.0	19.0	49.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CENPX	17.097563805058904	0.0001937810000000001	0.000193781	NA	NA	8.0	NA	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ARHGAP24	25.89189360412177	0.0002332061667334312	0.383616	0.00117271	0.0053034612468804	45.0	14.0	56.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
HUNK	25.741933797608834	0.0002486823328233158	0.000194008	0.256191	0.0517400199198915	39.0	16.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CALD1	25.74181075475756	0.0002486954379168346	1.09262e-05	0.449767	0.523335365553392	29.0	15.0	40.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADRA2C	21.17269448518718	0.00029265392233722773	3.04155e-05	NA	0.830448775015171	13.0	NA	14.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CCDC144A	21.138212713890105	0.00029730022930461904	0.000393514	NA	0.0653033172164794	16.0	NA	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
C16orf89	25.24605952215928	0.00030742492537511344	0.0149844	0.0213581	0.010296410682902	16.0	6.0	34.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF454	25.230989838270702	0.00030940936003390706	2.19902e-05	0.291892	0.51725988461814	14.0	4.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PRTN3	25.173091114395966	0.00031715179212784227	0.0100404	0.00285003	0.11943518091647	10.0	4.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
