GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	70.69245521210854	2.948123741720701e-13	1.52885e-12	0.013579	0.0214830395852572	83.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	20.49505107477776	3.544509999999998e-05	3.54451e-05	NA	NA	19.0	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	27.44343478064188	0.00011956940371306651	1.99134e-05	0.33677	0.163777802913243	49.0	9.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	26.007580145388246	0.00022191971045072727	0.0373442	0.36156	0.0001667716361832	37.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	21.107975217614758	0.000301434749765249	0.00410243	0.00635946	NA	13.0	2.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	24.92981582849515	0.00035182352078022913	0.000171122	0.0243794	0.925188902754562	90.0	17.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	24.501684735807423	0.0004221338131729378	0.00392371	0.0267918	0.0454807865751501	190.0	24.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	19.770729648176125	0.0005542217870251697	7.07449e-05	0.71969	NA	63.0	5.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	23.59237168835215	0.0006205215946459175	0.0392048	0.750554	0.0002560120421331	39.0	6.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCAF1	23.173110808783136	0.0007405245890818995	0.0593465	0.616782	0.0002538026319691	98.0	10.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	23.151570218336346	0.0007472708878986099	0.000324811	0.151714	0.190565384718304	107.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	23.03133142710341	0.0007860525080797779	0.027222	0.0152275	0.0240580978725804	93.0	13.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	22.86849602029227	0.0008417403627942374	0.0376945	0.546265	0.0005253972822846	54.0	11.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	18.81114836116589	0.0008560065421793942	0.00654824	0.0125628	NA	131.0	28.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
