COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.421366188253963	3.7211917741672596e-17	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	7.848568689384109	4.208121239634926e-15	0.714092	0.223904	0.00142626	0.669373	0.267761	0.0124232	0.411615758897442	0.190615684119216	0.030819045993025	61.0	22.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	7.061105284633252	1.6518337424763325e-12	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	0.704243864496001	0.402382331691961	0.080086249114731	12.0	6.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	6.463733836175997	1.0215048370390404e-10	0.642024	0.238358	0.00706998	0.656094	0.240531	0.00637805	0.174447643123349	0.167333360225358	0.297172683720856	48.0	22.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOCT	6.329082378211146	2.4662342523625517e-10	0.650221	0.375183	0.0830815	0.511152	0.292447	0.0804903	1.01933026498216	0.357890733011607	0.0043972735851805	15.0	8.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ELN	6.2990039377369405	2.995643830567615e-10	0.573403	0.241758	0.0177015	0.353409	0.206784	0.0874368	0.41552404157689	0.187331209623415	0.0265463098548336	49.0	29.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TAAR6	6.232151984266526	4.6007078659532785e-10	0.640616	0.355119	0.0712393	0.708631	0.301031	0.0185719	0.553783734809898	0.2669877948231	0.0380615570903069	25.0	13.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	6.2184134792417165	5.022067372092728e-10	1.12026	0.225877	7.06372e-07	0.16534	0.236676	0.484807	0.103496311210861	0.184742460733185	0.575329793399795	48.0	25.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EP400	6.179334580208396	6.437234306930234e-10	0.402131	0.151657	0.00801166	0.294191	0.157767	0.062221	0.179807774171594	0.108120312654507	0.0963055962457143	175.0	62.0	295.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MAP3K6	-5.983375960067203	2.1855949260448425e-09	-0.647674	0.334835	0.0530755	-0.444609	0.22748	0.0506422	-0.399353921030006	0.19066144643948	0.0362091526394876	73.0	36.0	111.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BOLA1	5.912265819547341	3.3743339549981742e-09	0.81634	0.599464	0.173267	0.826028	0.617221	0.180798	1.09138563558828	0.339764698226677	0.0013173145056984	8.0	3.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KCNK4	5.875713513615917	4.210259104582867e-09	0.594257	0.328435	0.0703953	0.783966	0.309685	0.0113577	0.318105543441069	0.207253910048425	0.124818449512028	28.0	14.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ERCC8	-5.831021482692114	5.508909097817486e-09	-1.89862	1.01654	0.0617995	-0.759655	0.408722	0.0630826	-0.637386503764496	0.302842015900976	0.0353188936519581	24.0	9.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NPBWR1	5.723172269030567	1.0455315224046967e-08	1.09368	0.352272	0.00190503	0.669144	0.514287	0.193221	0.438738561883952	0.333029685022443	0.187699294744022	22.0	4.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAM186B	5.709864516045299	1.1306614513658477e-08	0.0933071	0.270303	0.729948	0.453466	0.209124	0.0301275	0.596224209227076	0.18653791903586	0.0013922024979948	48.0	29.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IGSF9	5.702903923144959	1.1778337739333207e-08	0.273371	0.219494	0.212962	0.487977	0.207917	0.0189265	0.342517226914946	0.162294741673255	0.0348183997385051	73.0	28.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCC9	5.660133459770806	1.5125532002455786e-08	0.598442	0.279438	0.0322263	0.349251	0.308306	0.257296	0.556255316174922	0.233158812734672	0.0170449934197614	43.0	12.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DCAF1	-5.648382454109603	1.619645371719777e-08	-1.09352	0.734116	0.136336	-0.237847	0.475298	0.616782	-1.43621248613671	0.392580258993009	0.0002538026319691	25.0	10.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MXD1	5.637034856931109	1.7300310484961695e-08	0.936818	0.500806	0.0613978	1.24385	0.548573	0.023364	0.56224670286724	0.37508471835088	0.133877290837067	11.0	8.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DPYSL4	5.635291652465588	1.7476231537503465e-08	0.44199	0.253752	0.0815406	0.732753	0.300019	0.0145918	0.380798798775031	0.262417609407676	0.146747130032951	55.0	18.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CFAP52	-5.511848377180252	3.5508475611517824e-08	-0.337974	0.407825	0.407261	-0.852688	0.351345	0.0152275	-0.6231134543155	0.276178267504769	0.0240580978725804	31.0	13.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
USP6NL	5.501647129033628	3.762594359016657e-08	0.626346	0.277659	0.0240822	-0.0196546	0.323173	0.951505	0.693741186822514	0.209801532491436	0.0009441725856261	42.0	19.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TMEM9B	5.4863097737418745	4.104169326003198e-08	2.03195	0.922382	0.027599	NA	NA	NA	1.47042130365888	0.44783875571058	0.0010257315461657	5.0	NA	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GDF9	5.483402480444909	4.172223140127798e-08	-0.00967557	0.451107	0.982888	1.01594	0.511079	0.0468296	0.840472856102473	0.238973186775327	0.0004364251712774	22.0	7.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	13.268682758976862	3.517087536327618e-40	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
